,name_product,price_product,link_product
10,Perros Cachorros Bernes De La Montaña Boyero Suizo Vernes,5.160.000,https://articulo.mercadolibre.com.co/MCO-849210766-perros-cachorros-bernes-de-la-montana-boyero-suizo-vernes-_JM?searchVariation=174089067243#searchVariation=174089067243&position=11&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
11,Cachorro Pastor Belga Malinois Puppy Pastor Belga Perrito,5.400.000,https://articulo.mercadolibre.com.co/MCO-861035532-cachorro-pastor-belga-malinois-puppy-pastor-belga-perrito-_JM?searchVariation=174210018486#searchVariation=174210018486&position=12&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
12,Schitzu Cachorros,650.000,https://articulo.mercadolibre.com.co/MCO-544108613-schitzu-cachorros-_JM?searchVariation=71198179447#searchVariation=71198179447&position=13&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
13,Cachorro Chihuahua Puppy Perrito Chiguagua Cachorrito,14.400.000,https://articulo.mercadolibre.com.co/MCO-859621807-cachorro-chihuahua-puppy-perrito-chiguagua-cachorrito-_JM?searchVariation=174198380685#searchVariation=174198380685&position=14&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
14,Cachorro Doberman Perrito Doverman Puppy Dobermen Cachorrito,2.760.000,https://articulo.mercadolibre.com.co/MCO-854133437-cachorro-doberman-perrito-doverman-puppy-dobermen-cachorrito-_JM?searchVariation=174143281498#searchVariation=174143281498&position=15&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
15,Perros Cachorros Bulldog Ingles Bull Dog Inglés Vull Doc,2.760.000,https://articulo.mercadolibre.com.co/MCO-849530194-perros-cachorros-bulldog-ingles-bull-dog-ingles-vull-doc-_JM?searchVariation=174092980824#searchVariation=174092980824&position=16&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
16,Cachorro Bulldog Frances Black Merle,3.500.000,https://articulo.mercadolibre.com.co/MCO-819097380-cachorro-bulldog-frances-black-merle-_JM?searchVariation=173784819023#searchVariation=173784819023&position=17&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
17,Cachorro Lobo Mascotas Rionegro Medellín Bogota,1.300.000,https://articulo.mercadolibre.com.co/MCO-870918829-cachorro-lobo-mascotas-rionegro-medellin-bogota-_JM?searchVariation=174308030053#searchVariation=174308030053&position=18&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
18,Yorkshire Cachorro Entrega Inmediata,2.000.000,https://articulo.mercadolibre.com.co/MCO-871097017-yorkshire-cachorro-entrega-inmediata-_JM?searchVariation=174310763640#searchVariation=174310763640&position=19&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
19,Cachorro Dalmata Perrito Puppy Cachorrito Dálmata,2.100.000,https://articulo.mercadolibre.com.co/MCO-854550366-cachorro-dalmata-perrito-puppy-cachorrito-dalmata-_JM?searchVariation=174148746425#searchVariation=174148746425&position=20&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
20,Cachorros French Poodle Toy,1.100.000,https://articulo.mercadolibre.com.co/MCO-835061358-cachorros-french-poodle-toy-_JM?searchVariation=173940011209#searchVariation=173940011209&position=21&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
21,Monta Bulldog Frances Lilac And Tan. El Arca Del Frances Qua,900.000,https://articulo.mercadolibre.com.co/MCO-513281511-monta-bulldog-frances-lilac-and-tan-el-arca-del-frances-qua-_JM?searchVariation=40418406467#searchVariation=40418406467&position=22&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
22,Perros Cachorros Teckel Dachshund Perro Salchicha Puppy Mini,8.500.000,https://articulo.mercadolibre.com.co/MCO-850764239-perros-cachorros-teckel-dachshund-perro-salchicha-puppy-mini-_JM?searchVariation=174102804086#searchVariation=174102804086&position=23&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
23,Cachorro Golden Retriever Retriver Perritos Cachorritos,2.040.000,https://articulo.mercadolibre.com.co/MCO-849180486-cachorro-golden-retriever-retriver-perritos-cachorritos-_JM?searchVariation=174089159338#searchVariation=174089159338&position=24&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
24,Cachorro Jack Russell,1.500.000,https://articulo.mercadolibre.com.co/MCO-825216005-cachorro-jack-russell-_JM#position=25&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
25,Cachorro San Bernardo Perrito Puppy,6.120.000,https://articulo.mercadolibre.com.co/MCO-852136946-cachorro-san-bernardo-perrito-puppy-_JM?searchVariation=174122026903#searchVariation=174122026903&position=26&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
26,Cachorros Rotweiler Mascotas Rionegro Medellin Bogota,1.450.000,https://articulo.mercadolibre.com.co/MCO-877216729-cachorros-rotweiler-mascotas-rionegro-medellin-bogota-_JM?searchVariation=174364856669#searchVariation=174364856669&position=27&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
